"event","date","fulldate","cov_all","mid.x","mid.y","grid.cell","catch"
2,1885,"2015-03-01",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6143280279608,-17.009269812636,4227,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6993820451851,-17.0452024240008,4457,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6143280279608,-17.0002866597948,4228,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6426793670356,-16.9823203541124,4313,"Chiyabi"
1,1825,"2014-12-31",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
2,1885,"2015-03-01",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
3,2098,"2015-09-30",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
4,2250,"2016-02-29",0.52,27.6710307061103,-17.0002866597948,4384,"Chiyabi"
1,1825,"2014-12-31",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
2,1885,"2015-03-01",0.52,27.623778474319,-17.0002866597948,4260,"Chiyabi"
