"round","date","prevalence","mid.x","mid.y","grid.cell","catch"
6,"2013-10-31",0.4441,27.6899315988268,-17.009269812636,4433,"Chiyabi"
7,"2014-12-31",0.2919,27.6899315988268,-17.009269812636,4433,"Chiyabi"
8,"2015-03-01",0.2007,27.6899315988268,-17.009269812636,4433,"Chiyabi"
9,"2015-09-30",0.3336,27.6899315988268,-17.009269812636,4433,"Chiyabi"
10,"2016-02-29",0.0866,27.6899315988268,-17.009269812636,4433,"Chiyabi"
1,"2012-07-01",0.4724,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
2,"2012-09-30",0.2808,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
3,"2012-11-30",0.2106,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
4,"2013-07-01",0.4331,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
5,"2013-08-31",0.3419,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
6,"2013-10-31",0.4441,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
7,"2014-12-31",0.2919,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
8,"2015-03-01",0.2007,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
9,"2015-09-30",0.3336,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
10,"2016-02-29",0.0866,27.6993820451851,-16.9733372012712,4460,"Chiyabi"
1,"2012-07-01",0.4724,27.6804811524686,-17.009269812636,4410,"Chiyabi"
2,"2012-09-30",0.2808,27.6804811524686,-17.009269812636,4410,"Chiyabi"
3,"2012-11-30",0.2106,27.6804811524686,-17.009269812636,4410,"Chiyabi"
4,"2013-07-01",0.4331,27.6804811524686,-17.009269812636,4410,"Chiyabi"
5,"2013-08-31",0.3419,27.6804811524686,-17.009269812636,4410,"Chiyabi"
6,"2013-10-31",0.4441,27.6804811524686,-17.009269812636,4410,"Chiyabi"
7,"2014-12-31",0.2919,27.6804811524686,-17.009269812636,4410,"Chiyabi"
8,"2015-03-01",0.2007,27.6804811524686,-17.009269812636,4410,"Chiyabi"
9,"2015-09-30",0.3336,27.6804811524686,-17.009269812636,4410,"Chiyabi"
10,"2016-02-29",0.0866,27.6804811524686,-17.009269812636,4410,"Chiyabi"
1,"2012-07-01",0.4724,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
2,"2012-09-30",0.2808,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
3,"2012-11-30",0.2106,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
4,"2013-07-01",0.4331,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
5,"2013-08-31",0.3419,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
6,"2013-10-31",0.4441,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
7,"2014-12-31",0.2919,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
8,"2015-03-01",0.2007,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
9,"2015-09-30",0.3336,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
10,"2016-02-29",0.0866,27.6710307061103,-16.9823203541124,4386,"Chiyabi"
1,"2012-07-01",0.4724,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
2,"2012-09-30",0.2808,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
3,"2012-11-30",0.2106,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
4,"2013-07-01",0.4331,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
5,"2013-08-31",0.3419,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
6,"2013-10-31",0.4441,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
7,"2014-12-31",0.2919,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
8,"2015-03-01",0.2007,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
9,"2015-09-30",0.3336,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
10,"2016-02-29",0.0866,27.6615802597521,-17.0002866597948,4359,"Chiyabi"
1,"2012-07-01",0.4724,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
2,"2012-09-30",0.2808,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
3,"2012-11-30",0.2106,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
4,"2013-07-01",0.4331,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
5,"2013-08-31",0.3419,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
6,"2013-10-31",0.4441,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
7,"2014-12-31",0.2919,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
8,"2015-03-01",0.2007,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
9,"2015-09-30",0.3336,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
10,"2016-02-29",0.0866,27.6426793670356,-17.0182529654772,4311,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-17.009269812636,4335,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-17.009269812636,4335,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-17.009269812636,4335,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-17.009269812636,4335,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-17.009269812636,4335,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-17.009269812636,4335,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-17.009269812636,4335,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-17.009269812636,4335,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-17.009269812636,4335,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-17.009269812636,4335,"Chiyabi"
1,"2012-07-01",0.4724,27.6426793670356,-16.96435404843,4314,"Chiyabi"
2,"2012-09-30",0.2808,27.6426793670356,-16.96435404843,4314,"Chiyabi"
3,"2012-11-30",0.2106,27.6426793670356,-16.96435404843,4314,"Chiyabi"
4,"2013-07-01",0.4331,27.6426793670356,-16.96435404843,4314,"Chiyabi"
5,"2013-08-31",0.3419,27.6426793670356,-16.96435404843,4314,"Chiyabi"
6,"2013-10-31",0.4441,27.6426793670356,-16.96435404843,4314,"Chiyabi"
7,"2014-12-31",0.2919,27.6426793670356,-16.96435404843,4314,"Chiyabi"
8,"2015-03-01",0.2007,27.6426793670356,-16.96435404843,4314,"Chiyabi"
9,"2015-09-30",0.3336,27.6426793670356,-16.96435404843,4314,"Chiyabi"
10,"2016-02-29",0.0866,27.6426793670356,-16.96435404843,4314,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
10,"2016-02-29",0.0866,27.6521298133938,-16.9733372012712,4338,"Chiyabi"
1,"2012-07-01",0.4724,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
2,"2012-09-30",0.2808,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
3,"2012-11-30",0.2106,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
4,"2013-07-01",0.4331,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
5,"2013-08-31",0.3419,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
6,"2013-10-31",0.4441,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
7,"2014-12-31",0.2919,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
8,"2015-03-01",0.2007,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
9,"2015-09-30",0.3336,27.6521298133938,-16.9913035069536,4336,"Chiyabi"
