"grid_cell","round","date","prev","N"
214,7,2014-12-06,0,4
215,9,2015-09-18,0,17
216,7,2014-12-24,0,17
216,9,2015-09-18,0,17
217,7,2014-12-24,0,14
217,9,2015-09-18,0,4
217,10,2016-02-27,0,31
218,7,2014-12-23,0,41
218,9,2015-09-17,0,11
218,10,2016-02-28,0,42
219,9,2015-09-19,0,10
219,10,2016-02-29,0,15
220,7,2014-12-22,0,27
220,9,2015-09-26,0,21
220,10,2016-02-22,0,9
221,7,2014-12-22,0,38
221,9,2015-09-26,0,37
221,10,2016-02-24,0,11
222,7,2014-12-11,0,23
222,9,2015-09-25,0,26
222,10,2016-02-24,0,43
223,10,2016-02-23,0,16
224,10,2016-02-24,0,9
225,9,2015-09-28,0,5
226,2,2012-08-16,0,6
226,3,2012-11-11,0,11
226,4,2013-06-20,0,19
227,5,2013-08-22,0.166666666666667,6
227,6,2013-10-15,0,4
228,4,2013-06-04,0,11
229,2,2012-09-04,0,8
229,3,2012-10-29,0,5
229,4,2013-06-04,0,6
229,5,2013-08-22,0,4
229,6,2013-10-15,0,12
230,2,2012-09-04,0.0666666666666667,15
230,3,2012-10-29,0,14
230,5,2013-08-22,0,7
230,6,2013-10-15,0,33
230,9,2015-09-16,0,3
230,10,2016-02-14,0,7
231,1,2012-07-05,0,4
231,2,2012-09-04,NA,6
231,3,2012-10-29,0,21
231,4,2013-06-04,0,7
232,2,2012-09-11,0,4
232,3,2012-10-29,0,8
232,4,2013-06-04,0,6
232,5,2013-08-22,0,13
232,6,2013-10-15,0,11
233,2,2012-09-11,0,4
233,3,2012-10-29,0,4
233,4,2013-06-04,0,1
234,9,2015-09-18,0,21
235,9,2015-09-19,0,7
236,7,2014-12-24,0,8
236,9,2015-09-19,0,13
236,10,2016-03-02,0,30
237,7,2014-12-24,0,14
237,9,2015-09-19,0,2
237,10,2016-03-01,0,6
238,9,2015-09-19,0,41
239,7,2014-12-22,0,11
239,9,2015-09-26,0,49
240,7,2014-12-10,0,90
240,9,2015-09-27,0,60
241,7,2014-12-11,0,48
241,9,2015-09-26,0,27
241,10,2016-02-23,0,36
242,7,2014-12-12,0,36
242,9,2015-09-26,0,19
242,10,2016-02-24,0,17
243,7,2014-12-12,0,23
243,10,2016-02-24,0,23
244,9,2015-09-27,0,14
245,9,2015-09-27,0,16
245,10,2016-02-21,0,7
246,7,2014-12-30,0,8
246,9,2015-09-12,0,5
246,10,2016-02-12,0,17
247,7,2014-12-30,0,12
247,8,2015-02-10,0,20
247,9,2015-09-13,0,20
247,10,2016-02-13,0,18
248,1,2012-06-26,0.0909090909090909,11
248,2,2012-08-16,0,24
248,3,2012-11-11,0.0588235294117647,17
