"event","fulldate","cov_all","grid_cell"
3,2013-06-04,0.472727272727273,273
4,2013-08-22,0.8,273
5,2013-10-15,0.4,273
1,2012-06-27,0.8,292
2,2012-08-16,0.363636363636364,292
3,2012-11-11,0.436363636363636,292
4,2013-08-14,0.363636363636364,292
5,2013-10-23,0.436363636363636,292
1,2012-11-13,0.48,293
2,2013-06-19,0.64,293
3,2013-10-25,0.8,293
1,2012-06-28,0.4,294
2,2012-08-17,0.52,294
3,2012-11-13,0.36,294
4,2013-06-19,0.44,294
5,2013-08-12,0.48,294
6,2013-10-25,0.8,294
1,2012-06-28,0.8,295
2,2012-11-13,0.45,295
1,2012-06-28,0.133333333333333,296
2,2012-08-17,0.45,296
3,2012-11-13,0.183333333333333,296
4,2013-06-19,0.8,296
5,2013-08-12,0.4,296
6,2013-10-25,0.116666666666667,296
1,2012-11-11,0.8,321
1,2013-10-25,0.8,322
1,2013-10-25,0.8,323
1,2012-11-13,0.32,324
2,2013-06-19,0.8,324
3,2013-08-12,0.64,324
1,2012-06-28,0.407547169811321,347
2,2012-08-17,0.8,347
3,2012-11-13,0.316981132075472,347
4,2013-06-19,0.332075471698113,347
5,2013-08-12,0.271698113207547,347
6,2013-10-25,0.271698113207547,347
1,2012-06-29,0.8,348
2,2012-08-17,0.387878787878788,348
3,2012-11-13,0.363636363636364,348
4,2013-06-19,0.557575757575758,348
5,2013-08-12,0.436363636363636,348
6,2013-10-25,0.557575757575758,348
1,2012-09-04,0.64,412
2,2013-06-06,0.8,412
3,2013-10-16,0.693333333333333,412
1,2013-06-06,0.8,413
1,2012-07-04,0.231578947368421,446
2,2012-09-04,0.147368421052632,446
3,2012-10-26,0.168421052631579,446
4,2013-06-06,0.231578947368421,446
5,2013-10-16,0.8,446
1,2012-07-04,0.1,447
2,2012-09-04,0.5,447
3,2013-06-06,0.5,447
4,2013-08-24,0.8,447
1,2012-09-04,0.8,448
2,2013-06-06,0.342857142857143,448
1,2012-07-03,0.8,449
2,2012-09-04,0.109090909090909,449
3,2013-06-06,0.363636363636364,449
4,2013-08-24,0.363636363636364,449
1,2012-09-03,0.213333333333333,451
2,2012-10-23,0.32,451
3,2013-06-12,0.266666666666667,451
4,2013-08-12,0.8,451
5,2013-10-14,0.746666666666667,451
1,2013-10-27,0.8,484
1,2012-08-16,0.8,485
2,2012-11-09,0.5625,485
3,2013-06-20,0.4125,485
4,2013-08-13,0.6625,485
5,2013-10-23,0.6,485
1,2012-08-16,0.8,486
2,2012-11-09,0.184615384615385,486
3,2013-08-13,0.430769230769231,486
4,2013-10-23,0.553846153846154,486
1,2012-06-28,0.8,487
2,2012-08-23,0.266666666666667,487
