"event","fulldate","cov_newclin_youth","cov_newclin_adult","cov_severe_youth","cov_severe_adult","duration","grid_cell"
"1",2010-01-01,0.256374659854461,0.170916439902974,0.384561989781691,0.256374659854461,1642,82
"2",2014-07-01,0.339963004508967,0.226642003005978,0.509944506763451,0.339963004508967,5000,82
"1",2010-01-01,0.499779932196379,0.333186621464253,0.749669898294569,0.499779932196379,1642,83
"2",2014-07-01,0.754547864053463,0.503031909368975,0.9,0.754547864053463,5000,83
"1",2010-01-01,0.530532804008446,0.353688536005631,0.79579920601267,0.530532804008446,1642,84
"2",2014-07-01,0.801829666434045,0.53455311095603,0.9,0.801829666434045,5000,84
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,85
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,85
"1",2010-01-01,0.241051144978698,0.160700763319132,0.361576717468047,0.241051144978698,1642,86
"2",2014-07-01,0.865324286607533,0.576882857738355,0.9,0.865324286607533,5000,86
"1",2010-01-01,0.243600663158096,0.162400442105397,0.365400994737144,0.243600663158096,1642,87
"2",2014-07-01,0.465518093317149,0.310345395544766,0.698277139975723,0.465518093317149,5000,87
"1",2010-01-01,0.247749435611017,0.165166290407344,0.371624153416525,0.247749435611017,1642,88
"2",2014-07-01,0.349001115737145,0.23266741049143,0.523501673605718,0.349001115737145,5000,88
"1",2010-01-01,0.252826417040364,0.168550944693576,0.379239625560546,0.252826417040364,1642,89
"2",2014-07-01,0.318596496445924,0.212397664297282,0.477894744668885,0.318596496445924,5000,89
"1",2010-01-01,0.26476806586438,0.176512043909586,0.397152098796569,0.26476806586438,1642,90
"2",2014-07-01,0.321533645118431,0.214355763412287,0.482300467677647,0.321533645118431,5000,90
"1",2010-01-01,0.438585524808783,0.292390349872522,0.657878287213175,0.438585524808783,1642,91
"2",2014-07-01,0.661354736460022,0.440903157640014,0.9,0.661354736460022,5000,91
"1",2010-01-01,0.264045991129101,0.176030660752734,0.396068986693651,0.264045991129101,1642,92
"2",2014-07-01,0.361008632209982,0.240672421473321,0.541512948314973,0.361008632209982,5000,92
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,93
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,93
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,94
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,94
"1",2010-01-01,0.246779388335946,0.164519592223964,0.370169082503919,0.246779388335946,1642,95
"2",2014-07-01,0.380976738238373,0.253984492158915,0.571465107357559,0.380976738238373,5000,95
"1",2010-01-01,0.252264171186532,0.168176114124355,0.378396256779798,0.252264171186532,1642,96
"2",2014-07-01,0.342512100829164,0.228341400552776,0.513768151243746,0.342512100829164,5000,96
"1",2010-01-01,0.258890698858019,0.172593799238679,0.388336048287028,0.258890698858019,1642,97
"2",2014-07-01,0.327373021508663,0.218248681005775,0.491059532262994,0.327373021508663,5000,97
"1",2010-01-01,0.26643908090368,0.177626053935787,0.39965862135552,0.26643908090368,1642,98
"2",2014-07-01,0.342252832365216,0.228168554910144,0.513379248547824,0.342252832365216,5000,98
"1",2010-01-01,0.274535352613263,0.183023568408842,0.411803028919894,0.274535352613262,1642,99
"2",2014-07-01,0.352873850043193,0.235249233362129,0.52931077506479,0.352873850043193,5000,99
"1",2010-01-01,0.282718974756727,0.188479316504485,0.424078462135091,0.282718974756727,1642,100
"2",2014-07-01,0.355692646283513,0.237128430855675,0.53353896942527,0.355692646283513,5000,100
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,101
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,101
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,102
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,102
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,103
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,103
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,104
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,104
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,105
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,105
"1",2010-01-01,0.257151007189369,0.171434004792912,0.385726510784053,0.257151007189369,1642,106
"2",2014-07-01,0.33210119323921,0.221400795492806,0.498151789858814,0.33210119323921,5000,106
"1",2010-01-01,0.274995213310981,0.183330142207321,0.412492819966472,0.274995213310981,1642,107
"2",2014-07-01,0.378486395179292,0.252324263452861,0.567729592768938,0.378486395179292,5000,107
"1",2010-01-01,0.285374971314588,0.190249980876392,0.428062456971883,0.285374971314588,1642,108
"2",2014-07-01,0.514230810954837,0.342820540636558,0.771346216432255,0.514230810954837,5000,108
"1",2010-01-01,0.296108768348367,0.197405845565578,0.444163152522551,0.296108768348367,1642,109
"2",2014-07-01,0.564277130666836,0.376184753777891,0.846415696000255,0.564277130666836,5000,109
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,110
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,110
"1",2010-01-01,0.318961895428608,0.212641263619072,0.478289036202258,0.318961895428608,1642,111
"2",2014-07-01,0.596228881536195,0.39748592102413,0.744650536895039,0.596201969337604,5000,111
"1",2010-01-01,0.251978702654494,0.167985801769663,0.377968053981741,0.251978702654494,1642,112
"2",2014-07-01,0.251978702654494,0.167985801769663,0.377968053981741,0.251978702654494,5000,112
"1",2010-01-01,0.259858282424024,0.17323885494935,0.389787423636037,0.259858282424024,1642,113
"2",2014-07-01,0.389172672566388,0.259448448377592,0.583759008849582,0.389172672566388,5000,113
"1",2010-01-01,0.262089530964631,0.174726353976421,0.393134296446946,0.262089530964631,1642,114
"2",2014-07-01,0.366946315776657,0.244630877184438,0.550419473664986,0.366946315776657,5000,114
"1",2010-01-01,0.27214558170911,0.181430387806073,0.408218372563665,0.27214558170911,1642,115
"2",2014-07-01,0.38364072821183,0.255760485474553,0.575461092317744,0.38364072821183,5000,115
"1",2010-01-01,0.283813772156329,0.189209181437553,0.425720658234493,0.283813772156329,1642,116
"2",2014-07-01,0.732920451862447,0.488613634574965,0.9,0.732920451862447,5000,116
"1",2010-01-01,0.296822563523925,0.19788170901595,0.445233845285888,0.296822563523925,1642,117
"2",2014-07-01,0.873868029666283,0.582578686444188,0.9,0.873868029666283,5000,117
"1",2010-01-01,0.31147559870688,0.20765039913792,0.46721339806032,0.31147559870688,1642,118
"2",2014-07-01,0.886309044029399,0.590872696019599,0.9,0.886309044029399,5000,118
"1",2010-01-01,0.327532240012943,0.218354826675295,0.491298360019414,0.327532240012943,1642,119
"2",2014-07-01,0.844027108401238,0.562684738934159,0.9,0.844027108401238,5000,119
