"mid.x","mid.y","loc.id","closest.chw.name","multi.chw.flag"
26.5747789285529,-17.3685959262838,178,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.7638546512964,179,"so Simalundu RHC Static",1
26.5842293749112,-17.4494443018545,180,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.4404611490133,181,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.4314779961722,182,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.422494843331,183,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.4135116904898,184,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.4045285376486,185,"so Luyaba Rural Health Centre Muntanga",0
26.5842293749112,-17.3955453848074,186,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.3865622319662,187,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.377579079125,188,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.3685959262838,189,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.3596127734426,190,"so Sipatunyana RHC Njabalombe",0
26.5842293749112,-17.3506296206014,191,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.9165682495967,192,"so Mapatizya Rural Health Centre Siampondo",0
26.5936798212694,-17.9075850967555,193,"so Mapatizya Rural Health Centre Siampondo",0
26.5936798212694,-17.7638546512964,194,"so Mapatizya Rural Health Centre Chalimongela",0
26.5936798212694,-17.745888345614,195,"so Simalundu RHC Static",1
26.5936798212694,-17.7369051927728,196,"so Simalundu RHC Static",1
26.5936798212694,-17.7279220399316,197,"so Simalundu RHC Static",1
26.5936798212694,-17.4494443018545,198,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.4404611490133,199,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.4314779961722,200,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.422494843331,201,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.4135116904898,202,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.4045285376486,203,"so Luyaba Rural Health Centre Muntanga",0
26.5936798212694,-17.3955453848074,204,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.3865622319662,205,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.377579079125,206,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.3685959262838,207,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.3596127734426,208,"so Sipatunyana RHC Njabalombe",0
26.5936798212694,-17.3506296206014,209,"so Sipatunyana RHC Njabalombe",0
26.6031302676277,-17.9075850967555,210,"so Mapatizya Rural Health Centre Siampondo",0
26.6031302676277,-17.7548714984552,211,"so Mapatizya Rural Health Centre Chalimongela",0
26.6031302676277,-17.745888345614,212,"so Mapatizya Rural Health Centre Chalimongela",0
26.6031302676277,-17.7369051927728,213,"so Mapatizya Rural Health Centre Chalimongela",0
26.6031302676277,-17.5123263717429,214,"so Siamafumba Rural Health Centre Static",0
26.6031302676277,-17.4494443018545,215,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.4404611490133,216,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.4314779961722,217,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.422494843331,218,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.4135116904898,219,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.3955453848074,220,"so Luyaba Rural Health Centre Muntanga",0
26.6031302676277,-17.3865622319662,221,"so Sipatunyana RHC Njabalombe",0
26.6031302676277,-17.377579079125,222,"so Sipatunyana RHC Njabalombe",0
26.6031302676277,-17.3685959262838,223,"so Sipatunyana RHC Njabalombe",0
26.6031302676277,-17.3596127734426,224,"so Sipatunyana RHC Njabalombe",0
26.6031302676277,-17.3506296206014,225,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-18.0513155422146,226,"so Mapatizya Rural Health Centre Siampondo",0
26.6125807139859,-17.7728378041376,227,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.7638546512964,228,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.7548714984552,229,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.745888345614,230,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.7369051927728,231,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.7279220399316,232,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.7189388870904,233,"so Mapatizya Rural Health Centre Chalimongela",0
26.6125807139859,-17.4494443018545,234,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.4404611490133,235,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.4314779961722,236,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.422494843331,237,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.4135116904898,238,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.4045285376486,239,"so Luyaba Rural Health Centre Muntanga",0
26.6125807139859,-17.3865622319662,240,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-17.377579079125,241,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-17.3685959262838,242,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-17.3596127734426,243,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-17.3506296206014,244,"so Sipatunyana RHC Njabalombe",0
26.6125807139859,-17.3416464677602,245,"so Sipatunyana RHC Siamwaamvwa",0
26.6125807139859,-17.2158823279835,246,"so Sipatunyana RHC Shangu",0
26.6125807139859,-17.2068991751423,247,"so Sipatunyana RHC Shangu",0
26.6220311603442,-18.0513155422146,248,"so Mapatizya Rural Health Centre Siampondo",0
26.6220311603442,-17.7728378041376,249,"so Mapatizya Rural Health Centre Chalimongela",0
26.6220311603442,-17.7638546512964,250,"so Mapatizya Rural Health Centre Chalimongela",0
26.6220311603442,-17.7369051927728,251,"so Mapatizya Rural Health Centre Chalimongela",0
26.6220311603442,-17.7279220399316,252,"so Mapatizya Rural Health Centre Chalimongela",0
26.6220311603442,-17.4584274546957,253,"so Luyaba Rural Health Centre Chaambya",0
26.6220311603442,-17.4404611490133,254,"so Luyaba Rural Health Centre Chikambo",0
26.6220311603442,-17.4314779961722,255,"so Luyaba Rural Health Centre Chikambo",0
26.6220311603442,-17.422494843331,256,"so Luyaba Rural Health Centre Chikambo",0
26.6220311603442,-17.4135116904898,257,"so Luyaba Rural Health Centre Muntanga",0
26.6220311603442,-17.4045285376486,258,"so Luyaba Rural Health Centre Muntanga",0
26.6220311603442,-17.3865622319662,259,"so Luyaba Rural Health Centre Muntanga",0
26.6220311603442,-17.377579079125,260,"so Sipatunyana RHC Njabalombe",0
26.6220311603442,-17.3685959262838,261,"so Sipatunyana RHC Njabalombe",0
26.6220311603442,-17.3596127734426,262,"so Sipatunyana RHC Njabalombe",0
26.6220311603442,-17.3506296206014,263,"so Luyaba Rural Health Centre Siansungo",0
26.6220311603442,-17.3416464677602,264,"so Luyaba Rural Health Centre Siansungo",0
26.6220311603442,-17.2248654808247,265,"so Sipatunyana RHC Munakanyemba",0
26.6220311603442,-17.2158823279835,266,"so Sipatunyana RHC Shangu",0
26.6220311603442,-17.2068991751423,267,"so Katungu HP B",1
26.6220311603442,-17.1889328694599,268,"so Katungu HP B",1
26.6314816067024,-17.9435177081203,269,"so Mapatizya Rural Health Centre Siampondo",0
26.6314816067024,-17.9345345552791,270,"so Mapatizya Rural Health Centre Siampondo",0
26.6314816067024,-17.8806356382319,271,"so Mapatizya Rural Health Centre Siampondo",0
26.6314816067024,-17.8716524853907,272,"so Mapatizya Rural Health Centre Siampondo",0
26.6314816067024,-17.7279220399316,273,"so Mapatizya Rural Health Centre Chalimongela",0
26.6314816067024,-17.4584274546957,274,"so Luyaba Rural Health Centre Chaambya",0
26.6314816067024,-17.4494443018545,275,"so Luyaba Rural Health Centre Chaambya",0
26.6314816067024,-17.4404611490133,276,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.4314779961722,277,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.422494843331,278,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.4045285376486,279,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.3955453848074,280,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.3865622319662,281,"so Luyaba Rural Health Centre Chikambo",0
26.6314816067024,-17.377579079125,282,"so Luyaba Rural Health Centre Chikamba",0
26.6314816067024,-17.3685959262838,283,"so Luyaba Rural Health Centre Siansungo",0
26.6314816067024,-17.3596127734426,284,"so Luyaba Rural Health Centre Siansungo",0
26.6314816067024,-17.3506296206014,285,"so Luyaba Rural Health Centre Siansungo",0
26.6314816067024,-17.3416464677602,286,"so Luyaba Rural Health Centre Siansungo",0
26.6314816067024,-17.332663314919,287,"so Luyaba Rural Health Centre Siansungo",0
26.6314816067024,-17.2158823279835,288,"so Sipatunyana RHC Munakanyemba",0
26.6314816067024,-17.2068991751423,289,"so Sipatunyana RHC Munakanyemba",0
26.6314816067024,-17.1979160223011,290,"so Katungu HP B",1
26.6314816067024,-17.1889328694599,291,"so Katungu HP B",1
26.6409320530607,-18.0513155422146,292,"so Mapatizya Rural Health Centre Siampondo",0
26.6409320530607,-17.9075850967555,293,"so Mapatizya Rural Health Centre Siampondo",0
26.6409320530607,-17.8896187910731,294,"so Mapatizya Rural Health Centre Siampondo",0
26.6409320530607,-17.8806356382319,295,"so Mapatizya Rural Health Centre Siampondo",0
26.6409320530607,-17.8716524853907,296,"so Mapatizya Rural Health Centre Siampondo",0
26.6409320530607,-17.7279220399316,297,"so Mapatizya Rural Health Centre Chalimongela",0
26.6409320530607,-17.4584274546957,298,"so Luyaba Rural Health Centre Chaambya",0
26.6409320530607,-17.4494443018545,299,"so Luyaba Rural Health Centre Chaambya",0
26.6409320530607,-17.4404611490133,300,"so Luyaba Rural Health Centre Chaambya",0
26.6409320530607,-17.4314779961722,301,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.422494843331,302,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.4135116904898,303,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.4045285376486,304,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.3955453848074,305,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.3865622319662,306,"so Luyaba Rural Health Centre Chikambo",0
26.6409320530607,-17.377579079125,307,"so Luyaba Rural Health Centre Chikamba",0
26.6409320530607,-17.3685959262838,308,"so Luyaba Rural Health Centre Chikamba",0
26.6409320530607,-17.3596127734426,309,"so Luyaba Rural Health Centre Siansungo",0
26.6409320530607,-17.3506296206014,310,"so Luyaba Rural Health Centre Siansungo",0
26.6409320530607,-17.332663314919,311,"so Luyaba Rural Health Centre Siansungo",0
26.6409320530607,-17.3236801620778,312,"so Luyaba Rural Health Centre Siansungo",0
26.6409320530607,-17.2158823279835,313,"so Sipatunyana RHC Munakanyemba",0
26.6409320530607,-17.2068991751423,314,"so Sipatunyana RHC Munakanyemba",0
26.6409320530607,-17.1979160223011,315,"so Katungu HP B",1
26.6409320530607,-17.1889328694599,316,"so Katungu HP B",1
26.6409320530607,-17.1799497166187,317,"so Katungu HP B",1
26.6409320530607,-17.1709665637775,318,"so Katungu HP B",1
26.6409320530607,-17.1530002580951,319,"so Mukwela RHC Middleton",0
26.6409320530607,-17.1440171052539,320,"so Mukwela RHC Middleton",0
26.650382499419,-18.0513155422146,321,"so Mapatizya Rural Health Centre Siampondo",0
26.650382499419,-17.9435177081203,322,"so Mapatizya Rural Health Centre Siampondo",0
26.650382499419,-17.9345345552791,323,"so Mapatizya Rural Health Centre Siampondo",0
26.650382499419,-17.9075850967555,324,"so Mapatizya Rural Health Centre Siampondo",0
26.650382499419,-17.4494443018545,325,"so Luyaba Rural Health Centre Chaambya",0
26.650382499419,-17.4404611490133,326,"so Luyaba Rural Health Centre Chaambya",0
26.650382499419,-17.4314779961722,327,"so Luyaba Rural Health Centre Chaambya",0
26.650382499419,-17.422494843331,328,"so Luyaba Rural Health Centre Chaambya",0
26.650382499419,-17.4135116904898,329,"so Luyaba Rural Health Centre Chikambo",0
26.650382499419,-17.4045285376486,330,"so Luyaba Rural Health Centre Chikambo",0
26.650382499419,-17.3955453848074,331,"so Luyaba Rural Health Centre Chikambo",0
26.650382499419,-17.3865622319662,332,"so Luyaba Rural Health Centre Chikamba",0
26.650382499419,-17.377579079125,333,"so Luyaba Rural Health Centre Chikamba",0
26.650382499419,-17.3685959262838,334,"so Luyaba Rural Health Centre Chikamba",0
26.650382499419,-17.3596127734426,335,"so Luyaba Rural Health Centre Chikamba",0
26.650382499419,-17.3506296206014,336,"so Luyaba Rural Health Centre Siansungo",0
26.650382499419,-17.332663314919,337,"so Luyaba Rural Health Centre Siansungo",0
26.650382499419,-17.3236801620778,338,"so Luyaba Rural Health Centre Siansungo",0
26.650382499419,-17.3146970092366,339,"so Sipatunyana RHC Kasikili",0
26.650382499419,-17.2068991751423,340,"so Sipatunyana RHC Munakanyemba",0
26.650382499419,-17.1979160223011,341,"so Sipatunyana RHC Munakanyemba",0
26.650382499419,-17.1799497166187,342,"so Mukwela RHC Middleton",0
26.650382499419,-17.1709665637775,343,"so Mukwela RHC Middleton",0
26.650382499419,-17.1619834109363,344,"so Mukwela RHC Middleton",0
26.650382499419,-17.1530002580951,345,"so Mukwela RHC Middleton",0
26.650382499419,-17.1440171052539,346,"so Mukwela RHC Middleton",0
26.6598329457772,-17.9075850967555,347,"so Mapatizya Rural Health Centre Siampondo",0
26.6598329457772,-17.8716524853907,348,"so Mapatizya Rural Health Centre Siampondo",0
26.6598329457772,-17.4584274546957,349,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.4494443018545,350,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.4404611490133,351,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.4314779961722,352,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.422494843331,353,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.4135116904898,354,"so Luyaba Rural Health Centre Chaambya",0
26.6598329457772,-17.4045285376486,355,"so Luyaba Rural Health Centre Chikambo",0
26.6598329457772,-17.3955453848074,356,"so Luyaba Rural Health Centre Chikambo",0
26.6598329457772,-17.3865622319662,357,"so Luyaba Rural Health Centre Chikamba",0
26.6598329457772,-17.377579079125,358,"so Luyaba Rural Health Centre Chikamba",0
26.6598329457772,-17.3685959262838,359,"so Luyaba Rural Health Centre Chikamba",0
26.6598329457772,-17.3596127734426,360,"so Luyaba Rural Health Centre Chikamba",0
