"event","fulldate","cov_all","killing","duration","grid_cell"
1,2016-01-13,1,0.9,180,1185
1,2016-01-13,1,0.9,180,1186
1,2016-01-29,0.75,0.9,180,1187
1,2016-01-15,1,0.9,180,1188
1,2016-01-30,0.333333333333333,0.9,180,1189
1,2014-12-31,0.666666666666667,0.9,180,1199
1,2014-10-17,1,0.9,180,1200
2,2014-11-30,0.666666666666667,0.9,180,1200
1,2015-03-24,1,0.9,180,1209
1,2015-02-26,1,0.9,180,1210
2,2015-03-25,0.625,0.9,180,1210
1,2015-02-25,0.5,0.9,180,1211
2,2015-02-26,0.75,0.9,180,1211
3,2015-03-25,0.5,0.9,180,1211
1,2015-02-09,1,0.9,180,1212
2,2015-02-11,0.8,0.9,180,1212
3,2015-03-10,1,0.9,180,1212
1,2015-02-10,0.5,0.9,180,1213
2,2015-02-12,0.75,0.9,180,1213
3,2015-03-10,1,0.9,180,1213
1,2015-01-12,0.75,0.9,180,1214
2,2015-02-13,1,0.9,180,1214
3,2015-03-10,1,0.9,180,1214
