"grid_cell","mid_x","mid_y","catchment","cluster_id","cluster_dist"
4603,27.7466342769763,-16.506213253529,NA,"80207_2",2.02969605632595
4604,27.7466342769763,-16.4882469478467,NA,"80207_2",2.91783194321607
4607,27.7560847233346,-16.9104551313828,"sinafala","80211_8",2.37884802356288
4608,27.7560847233346,-16.9014719785416,"sinafala","80211_8",2.55343950238793
4609,27.7560847233346,-16.8924888257004,"sinafala","80211_8",3.06287260147137
4610,27.7560847233346,-16.8565562143357,"sinafala","80211_1",0.471420069064725
4611,27.7560847233346,-16.8475730614945,"sinafala","80211_1",1.2448964526245
4612,27.7560847233346,-16.8385899086533,"sinafala","80211_5",0.947112719217228
4613,27.7560847233346,-16.8296067558121,"sinafala","80211_5",0.586137915655656
4614,27.7560847233346,-16.8206236029709,"sinafala","80211_5",1.33794349829295
4615,27.7560847233346,-16.8116404501297,"sinafala","80211_3",2.26804525559878
4616,27.7560847233346,-16.8026572972885,"sinafala","80211_3",1.27227593316445
4617,27.7560847233346,-16.7936741444473,"sinafala","80211_3",0.305520569487585
4618,27.7560847233346,-16.7846909916061,"sinafala","80211_3",0.753657472764023
4619,27.7560847233346,-16.7757078387649,"sinafala","80211_3",1.74432117275732
4620,27.7560847233346,-16.7397752274001,"munyumbwe","80209_6",2.64269047561477
4621,27.7560847233346,-16.7307920745589,"munyumbwe","80209_6",1.64595162488793
4622,27.7560847233346,-16.7218089217177,"munyumbwe","80209_6",0.659166559054541
4623,27.7560847233346,-16.6768931575118,"munyumbwe","80209_8",4.12789023979321
4624,27.7560847233346,-16.640960546147,"munyumbwe","80209_4",2.30695642534044
4625,27.7560847233346,-16.6319773933058,"munyumbwe","80209_4",1.82349433285646
4626,27.7560847233346,-16.6229942404646,"munyumbwe","80209_4",1.82433965178696
4627,27.7560847233346,-16.596044781941,NA,"80207_9",0.857629235505851
4628,27.7560847233346,-16.5870616290998,NA,"80207_9",0.4531287176563
4629,27.7560847233346,-16.5690953234174,NA,"80207_6",2.099796307531
