grid_cell,mid_x,mid_y,catchment
103,32.23356457,-24.50724416,Mapulanguene
104,32.23356457,-24.49826101,Mapulanguene
105,32.24358436,-24.86657027,Panjane
106,32.24358436,-24.85758712,Panjane
107,32.25360415,-24.87555343,Panjane
108,32.25360415,-24.86657027,Panjane
109,32.25360415,-24.85758712,Panjane
110,32.25360415,-24.55215993,Mapulanguene
111,32.26362393,-24.87555343,Panjane
112,32.26362393,-24.8036882,Panjane
113,32.26362393,-24.55215993,Mapulanguene
114,32.26362393,-24.54317677,Mapulanguene
115,32.27364372,-24.90250289,Panjane
116,32.27364372,-24.82165451,Panjane
117,32.27364372,-24.54317677,Mapulanguene
118,32.27364372,-24.53419362,Mapulanguene
119,32.27364372,-24.52521047,Mapulanguene
120,32.27364372,-24.51622731,Mapulanguene
121,32.28366351,-25.08216594,Panjane
122,32.28366351,-24.90250289,Panjane
123,32.28366351,-24.89351973,Panjane
124,32.28366351,-24.88453658,Panjane
125,32.28366351,-24.55215993,Mapulanguene
126,32.28366351,-24.53419362,Mapulanguene
127,32.28366351,-24.52521047,Mapulanguene
128,32.28366351,-24.51622731,Mapulanguene
129,32.2936833,-25.11809855,Panjane
130,32.2936833,-25.10013225,Panjane
131,32.2936833,-25.0911491,Panjane
132,32.2936833,-25.08216594,Panjane
133,32.2936833,-24.87555343,Panjane
134,32.2936833,-24.84860397,Panjane
135,32.2936833,-24.83063766,Panjane
136,32.2936833,-24.82165451,Panjane
137,32.2936833,-24.81267136,Panjane
138,32.2936833,-24.55215993,Mapulanguene
139,32.2936833,-24.53419362,Mapulanguene
140,32.2936833,-24.52521047,Mapulanguene
141,32.30370308,-25.1091154,Panjane
142,32.30370308,-25.07318279,Panjane
143,32.30370308,-25.06419964,Panjane
144,32.30370308,-24.87555343,Panjane
145,32.30370308,-24.86657027,Panjane
146,32.30370308,-24.85758712,Panjane
147,32.30370308,-24.84860397,Panjane
148,32.30370308,-24.83962082,Panjane
149,32.30370308,-24.82165451,Panjane
150,32.30370308,-24.56114308,Mahel
151,32.30370308,-24.54317677,Mahel
152,32.30370308,-24.53419362,Mapulanguene
153,32.30370308,-24.52521047,Mapulanguene
154,32.30370308,-24.29164849,Mapulanguene
155,32.31372287,-25.13606486,Chichuco
156,32.31372287,-25.12708171,Panjane
157,32.31372287,-25.11809855,Panjane
158,32.31372287,-25.1091154,Panjane
159,32.31372287,-25.10013225,Panjane
160,32.31372287,-25.08216594,Panjane
161,32.31372287,-25.07318279,Panjane
162,32.31372287,-24.90250289,Panjane
163,32.31372287,-24.89351973,Panjane
164,32.31372287,-24.88453658,Panjane
165,32.31372287,-24.87555343,Panjane
166,32.31372287,-24.86657027,Panjane
167,32.31372287,-24.85758712,Panjane
168,32.31372287,-24.84860397,Panjane
169,32.31372287,-24.82165451,Panjane
170,32.31372287,-24.33656426,Mapulanguene
171,32.31372287,-24.28266534,Mapulanguene
172,32.31372287,-24.27368219,Mapulanguene
173,32.31372287,-24.26469903,Mapulanguene
174,32.31372287,-24.25571588,Mapulanguene
175,32.32374266,-25.12708171,Chichuco
176,32.32374266,-25.11809855,Panjane
177,32.32374266,-25.1091154,Panjane
178,32.32374266,-24.90250289,Panjane
179,32.32374266,-24.88453658,Panjane
180,32.32374266,-24.87555343,Panjane
181,32.32374266,-24.86657027,Panjane
182,32.32374266,-24.54317677,Mahel
183,32.32374266,-24.28266534,Mapulanguene
184,32.32374266,-24.25571588,Mapulanguene
185,32.33376244,-25.1091154,Panjane
186,32.33376244,-25.01030072,Panjane
187,32.33376244,-24.89351973,Panjane
188,32.33376244,-24.54317677,Mahel
189,32.33376244,-24.26469903,Mapulanguene
190,32.34378223,-25.1091154,Chichuco
191,32.34378223,-25.0911491,Panjane
192,32.34378223,-25.08216594,Panjane
193,32.34378223,-25.00131757,Panjane
194,32.34378223,-24.92945234,Panjane
195,32.34378223,-24.90250289,Panjane
196,32.34378223,-24.89351973,Panjane
197,32.34378223,-24.88453658,Panjane
198,32.34378223,-24.54317677,Mahel
199,32.34378223,-24.30063165,Mapulanguene
200,32.35380202,-25.15403117,Chichuco
201,32.35380202,-25.10013225,Chichuco
202,32.35380202,-25.08216594,Panjane
203,32.35380202,-25.07318279,Panjane
204,32.35380202,-25.03725018,Panjane
205,32.35380202,-25.00131757,Panjane
206,32.35380202,-24.9384355,Panjane
207,32.35380202,-24.92046919,Panjane
208,32.35380202,-24.90250289,Panjane
209,32.35380202,-24.89351973,Panjane
210,32.35380202,-24.88453658,Panjane
211,32.35380202,-24.55215993,Mahel
212,32.36382181,-25.16301432,Chichuco
213,32.36382181,-25.13606486,Chichuco
214,32.36382181,-25.12708171,Chichuco
215,32.36382181,-25.11809855,Chichuco
216,32.36382181,-25.0911491,Chichuco
217,32.36382181,-25.08216594,Panjane
218,32.36382181,-25.06419964,Panjane
219,32.36382181,-25.03725018,Panjane
220,32.36382181,-25.02826703,Panjane
221,32.36382181,-24.99233441,Panjane
222,32.36382181,-24.9564018,Panjane
223,32.36382181,-24.92046919,Panjane
224,32.36382181,-24.91148604,Panjane
225,32.36382181,-24.90250289,Panjane
226,32.36382181,-24.65995776,Mahel
227,32.36382181,-24.58809254,Mahel
228,32.37384159,-25.15403117,Chichuco
229,32.37384159,-25.12708171,Chichuco
230,32.37384159,-25.11809855,Chichuco
231,32.37384159,-25.0911491,Chichuco
232,32.37384159,-25.01030072,Panjane
233,32.37384159,-25.00131757,Panjane
234,32.37384159,-24.99233441,Panjane
235,32.37384159,-24.94741865,Panjane
236,32.37384159,-24.92945234,Panjane
237,32.37384159,-24.92046919,Panjane
238,32.37384159,-24.91148604,Panjane
239,32.37384159,-24.65097461,Mahel
240,32.37384159,-24.615042,Mahel
241,32.37384159,-24.60605884,Mahel
242,32.37384159,-24.59707569,Mahel
243,32.37384159,-24.58809254,Mahel
244,32.37384159,-24.57910938,Mahel
245,32.37384159,-24.57012623,Mahel
246,32.37384159,-24.56114308,Mahel
247,32.38386138,-25.18098062,Chichuco
248,32.38386138,-25.11809855,Chichuco
249,32.38386138,-25.1091154,Chichuco
250,32.38386138,-25.10013225,Chichuco
251,32.38386138,-25.08216594,Chichuco
252,32.38386138,-25.04623333,Panjane
253,32.38386138,-25.03725018,Panjane
254,32.38386138,-25.01030072,Panjane
255,32.38386138,-24.94741865,Panjane
256,32.38386138,-24.83962082,Panjane
257,32.38386138,-24.58809254,Mahel
258,32.38386138,-24.57910938,Mahel
259,32.38386138,-24.57012623,Mahel
260,32.38386138,-24.53419362,Mahel
261,32.39388117,-25.20793008,Chichuco
262,32.39388117,-25.19894693,Chichuco
263,32.39388117,-25.18996378,Chichuco
264,32.39388117,-25.17199747,Chichuco
265,32.39388117,-25.15403117,Chichuco
266,32.39388117,-25.11809855,Chichuco
267,32.39388117,-25.1091154,Chichuco
268,32.39388117,-25.0911491,Chichuco
269,32.39388117,-25.03725018,Panjane
270,32.39388117,-25.01030072,Panjane
271,32.39388117,-24.99233441,Panjane
272,32.39388117,-24.9384355,Panjane
273,32.39388117,-24.64199145,Mahel
274,32.39388117,-24.50724416,Mahel
275,32.39388117,-24.4623284,Mahel
276,32.40390095,-25.21691324,Chichuco
277,32.40390095,-25.16301432,Chichuco
278,32.40390095,-25.12708171,Chichuco
279,32.40390095,-25.11809855,Chichuco
280,32.40390095,-25.1091154,Chichuco
281,32.40390095,-25.10013225,Chichuco
282,32.40390095,-25.0911491,Chichuco
283,32.40390095,-25.02826703,Panjane
284,32.40390095,-25.01928387,Panjane
285,32.40390095,-24.98335126,Panjane
286,32.40390095,-24.96538496,Panjane
287,32.40390095,-24.9564018,Panjane
288,32.40390095,-24.65097461,Mahel
289,32.40390095,-24.47131155,Mahel
290,32.41392074,-25.21691324,Chichuco
291,32.41392074,-25.20793008,Chichuco
292,32.41392074,-25.19894693,Chichuco
293,32.41392074,-25.16301432,Chichuco
294,32.41392074,-25.14504801,Chichuco
295,32.41392074,-25.1091154,Chichuco
296,32.41392074,-25.10013225,Chichuco
297,32.41392074,-25.0911491,Chichuco
298,32.41392074,-25.03725018,Panjane
299,32.41392074,-24.98335126,Panjane
300,32.41392074,-24.9384355,Panjane
301,32.41392074,-24.89351973,Panjane
302,32.41392074,-24.62402515,Mahel
303,32.41392074,-24.4802947,Mahel
304,32.41392074,-24.47131155,Mahel
305,32.41392074,-24.4623284,Mahel
306,32.41392074,-24.45334524,Mahel
307,32.42394053,-25.27081215,Chichuco
308,32.42394053,-25.25284585,Chichuco
309,32.42394053,-25.24386269,Chichuco
310,32.42394053,-25.23487954,Chichuco
311,32.42394053,-25.22589639,Chichuco
312,32.42394053,-25.21691324,Chichuco
313,32.42394053,-25.16301432,Chichuco
314,32.42394053,-25.14504801,Chichuco
315,32.42394053,-25.13606486,Chichuco
316,32.42394053,-25.11809855,Chichuco
317,32.42394053,-25.10013225,Chichuco
318,32.42394053,-25.06419964,Chichuco
319,32.42394053,-25.05521648,Chichuco
320,32.42394053,-25.04623333,Chichuco
321,32.42394053,-25.03725018,Panjane
322,32.42394053,-25.02826703,Panjane
323,32.42394053,-25.01928387,Panjane
324,32.42394053,-24.98335126,Panjane
325,32.42394053,-24.85758712,Panjane
326,32.42394053,-24.64199145,Mahel
327,32.42394053,-24.47131155,Mahel
328,32.42394053,-24.4623284,Mahel
329,32.42394053,-24.28266534,Chicutso
330,32.43396032,-25.27979531,Chichuco
331,32.43396032,-25.27081215,Chichuco
332,32.43396032,-25.25284585,Chichuco
333,32.43396032,-25.24386269,Chichuco
334,32.43396032,-25.14504801,Chichuco
335,32.43396032,-25.13606486,Chichuco
336,32.43396032,-25.12708171,Chichuco
337,32.43396032,-25.11809855,Chichuco
338,32.43396032,-25.1091154,Chichuco
339,32.43396032,-25.10013225,Chichuco
340,32.43396032,-25.06419964,Chichuco
341,32.43396032,-25.04623333,Chichuco
342,32.43396032,-25.03725018,Chichuco
343,32.43396032,-25.02826703,Panjane
344,32.43396032,-25.01928387,Panjane
345,32.43396032,-25.01030072,Panjane
346,32.43396032,-24.69589037,Mahel
347,32.43396032,-24.68690722,Mahel
348,32.43396032,-24.64199145,Mahel
349,32.43396032,-24.6330083,Mahel
350,32.43396032,-24.62402515,Mahel
351,32.43396032,-24.615042,Mahel
352,32.43396032,-24.47131155,Chicutso
353,32.43396032,-24.4623284,Chicutso
354,32.43396032,-24.45334524,Chicutso
355,32.43396032,-24.29164849,Chicutso
356,32.43396032,-24.28266534,Chicutso
357,32.4439801,-25.27979531,Chichuco
358,32.4439801,-25.27081215,Chichuco
359,32.4439801,-25.23487954,Chichuco
360,32.4439801,-25.12708171,Chichuco
361,32.4439801,-25.1091154,Chichuco
362,32.4439801,-25.10013225,Chichuco
363,32.4439801,-25.08216594,Chichuco
364,32.4439801,-25.06419964,Chichuco
365,32.4439801,-25.05521648,Chichuco
366,32.4439801,-25.04623333,Chichuco
367,32.4439801,-24.83962082,Moine
368,32.4439801,-24.74080613,Mahel
369,32.4439801,-24.73182298,Mahel
370,32.4439801,-24.69589037,Mahel
371,32.4439801,-24.64199145,Mahel
372,32.4439801,-24.6330083,Mahel
373,32.4439801,-24.62402515,Mahel
374,32.4439801,-24.47131155,Chicutso
375,32.4439801,-24.4623284,Chicutso
376,32.4439801,-24.29164849,Chicutso
377,32.45399989,-25.27979531,Chichuco
378,32.45399989,-25.261829,Chichuco
379,32.45399989,-25.25284585,Chichuco
380,32.45399989,-25.24386269,Chichuco
381,32.45399989,-25.13606486,Chichuco
382,32.45399989,-25.1091154,Chichuco
383,32.45399989,-25.0911491,Chichuco
384,32.45399989,-25.08216594,Chichuco
385,32.45399989,-25.07318279,Chichuco
386,32.45399989,-24.77673875,Mahel
387,32.45399989,-24.71385668,Mahel
388,32.45399989,-24.3096148,Chicutso
389,32.45399989,-24.30063165,Chicutso
390,32.46401968,-25.27979531,Chichuco
391,32.46401968,-25.261829,Chichuco
392,32.46401968,-25.24386269,Chichuco
393,32.46401968,-25.23487954,Chichuco
394,32.46401968,-25.22589639,Chichuco
395,32.46401968,-25.21691324,Chichuco
396,32.46401968,-25.19894693,Chichuco
397,32.46401968,-25.17199747,Chichuco
398,32.46401968,-25.15403117,Chichuco
399,32.46401968,-25.14504801,Chichuco
400,32.46401968,-25.12708171,Chichuco
401,32.46401968,-25.11809855,Chichuco
402,32.46401968,-25.0911491,Chichuco
403,32.46401968,-25.08216594,Chichuco
404,32.46401968,-25.07318279,Chichuco
405,32.46401968,-24.7857219,Mahel
406,32.46401968,-24.67792407,Mahel
407,32.46401968,-24.66894091,Mahel
408,32.46401968,-24.47131155,Chicutso
409,32.46401968,-24.4623284,Chicutso
410,32.46401968,-24.31859795,Chicutso
411,32.46401968,-24.3096148,Chicutso
412,32.47403947,-25.28877846,Chichuco
413,32.47403947,-25.24386269,Chichuco
414,32.47403947,-25.21691324,Chichuco
415,32.47403947,-25.18098062,Chichuco
416,32.47403947,-25.17199747,Chichuco
417,32.47403947,-25.15403117,Chichuco
418,32.47403947,-25.14504801,Chichuco
419,32.47403947,-25.11809855,Chichuco
420,32.47403947,-25.1091154,Chichuco
421,32.47403947,-25.0911491,Chichuco
422,32.47403947,-24.96538496,Moine
423,32.47403947,-24.89351973,Moine
424,32.47403947,-24.85758712,Moine
425,32.47403947,-24.84860397,Moine
426,32.47403947,-24.83962082,Moine
427,32.47403947,-24.83063766,Moine
428,32.47403947,-24.7857219,Mahel
429,32.47403947,-24.77673875,Mahel
430,32.47403947,-24.76775559,Mahel
431,32.47403947,-24.47131155,Chicutso
432,32.48405925,-25.28877846,Chichuco
433,32.48405925,-25.261829,Chichuco
434,32.48405925,-25.21691324,Chichuco
435,32.48405925,-25.20793008,Chichuco
436,32.48405925,-25.18098062,Chichuco
437,32.48405925,-25.17199747,Chichuco
438,32.48405925,-25.16301432,Chichuco
439,32.48405925,-25.15403117,Chichuco
440,32.48405925,-25.14504801,Chichuco
441,32.48405925,-25.12708171,Chichuco
442,32.48405925,-25.11809855,Chichuco
443,32.48405925,-25.1091154,Chichuco
444,32.48405925,-25.10013225,Chichuco
445,32.48405925,-25.0911491,Chichuco
446,32.48405925,-25.08216594,Chichuco
447,32.48405925,-25.07318279,Chichuco
448,32.48405925,-24.85758712,Moine
449,32.48405925,-24.8036882,Moine
450,32.48405925,-24.79470505,Moine
451,32.48405925,-24.77673875,Mahel
452,32.48405925,-24.72283983,Mahel
453,32.48405925,-24.71385668,Mahel
454,32.48405925,-24.4623284,Chicutso
455,32.49407904,-25.27081215,Chichuco
456,32.49407904,-25.261829,Chichuco
457,32.49407904,-25.21691324,Chichuco
458,32.49407904,-25.20793008,Chichuco
459,32.49407904,-25.19894693,Chichuco
460,32.49407904,-25.18996378,Chichuco
461,32.49407904,-25.15403117,Chichuco
462,32.49407904,-25.14504801,Chichuco
463,32.49407904,-25.13606486,Chichuco
464,32.49407904,-25.12708171,Chichuco
465,32.49407904,-25.11809855,Chichuco
466,32.49407904,-25.1091154,Chichuco
467,32.49407904,-25.10013225,Chichuco
468,32.49407904,-25.0911491,Chichuco
469,32.49407904,-25.08216594,Chichuco
470,32.49407904,-25.07318279,Chichuco
471,32.49407904,-24.90250289,Moine
472,32.49407904,-24.86657027,Moine
473,32.49407904,-24.83063766,Moine
474,32.49407904,-24.81267136,Moine
475,32.49407904,-24.8036882,Moine
476,32.49407904,-24.74978929,Mahel
477,32.49407904,-24.74080613,Mahel
478,32.49407904,-24.73182298,Mahel
479,32.49407904,-24.47131155,Chicutso
480,32.50409883,-25.25284585,Chichuco
481,32.50409883,-25.24386269,Chichuco
482,32.50409883,-25.23487954,Chichuco
483,32.50409883,-25.22589639,Chichuco
484,32.50409883,-25.21691324,Chichuco
485,32.50409883,-25.12708171,Chichuco
486,32.50409883,-25.11809855,Chichuco
487,32.50409883,-25.1091154,Chichuco
488,32.50409883,-25.10013225,Chichuco
489,32.50409883,-25.0911491,Chichuco
490,32.50409883,-25.07318279,Chichuco
491,32.50409883,-24.90250289,Moine
492,32.50409883,-24.88453658,Moine
493,32.50409883,-24.87555343,Moine
494,32.50409883,-24.83962082,Moine
495,32.50409883,-24.83063766,Moine
496,32.50409883,-24.82165451,Moine
497,32.50409883,-24.81267136,Moine
498,32.50409883,-24.7857219,Mahel
499,32.50409883,-24.76775559,Mahel
500,32.50409883,-24.75877244,Mahel
501,32.50409883,-24.74978929,Mahel
502,32.50409883,-24.74080613,Mahel
503,32.50409883,-24.73182298,Mahel
504,32.51411861,-25.27979531,Chichuco
505,32.51411861,-25.27081215,Chichuco
506,32.51411861,-25.261829,Chichuco
507,32.51411861,-25.24386269,Chichuco
508,32.51411861,-25.19894693,Chichuco
509,32.51411861,-25.18996378,Chichuco
510,32.51411861,-25.17199747,Chichuco
511,32.51411861,-25.11809855,Chichuco
512,32.51411861,-25.10013225,Chichuco
513,32.51411861,-25.0911491,Chichuco
514,32.51411861,-25.07318279,Chichuco
515,32.51411861,-24.92945234,Moine
516,32.51411861,-24.92046919,Moine
517,32.51411861,-24.91148604,Moine
518,32.51411861,-24.90250289,Moine
519,32.51411861,-24.83962082,Moine
520,32.51411861,-24.83063766,Moine
521,32.51411861,-24.82165451,Moine
522,32.51411861,-24.81267136,Moine
523,32.51411861,-24.8036882,Moine
524,32.51411861,-24.79470505,Moine
525,32.51411861,-24.7857219,Moine
526,32.51411861,-24.77673875,Mahel
527,32.51411861,-24.76775559,Mahel
528,32.51411861,-24.75877244,Mahel
529,32.51411861,-24.74978929,Mahel
530,32.51411861,-24.72283983,Mahel
531,32.51411861,-24.71385668,Mahel
532,32.51411861,-24.70487352,Mahel
533,32.5241384,-25.23487954,Chichuco
534,32.5241384,-25.19894693,Chichuco
535,32.5241384,-25.18996378,Chichuco
536,32.5241384,-25.17199747,Chichuco
537,32.5241384,-25.16301432,Chichuco
538,32.5241384,-25.15403117,Chichuco
539,32.5241384,-25.10013225,Chichuco
540,32.5241384,-25.0911491,Chichuco
541,32.5241384,-25.08216594,Chichuco
542,32.5241384,-25.07318279,Chichuco
543,32.5241384,-25.05521648,Chichuco
544,32.5241384,-25.04623333,Chichuco
545,32.5241384,-24.9384355,Moine
546,32.5241384,-24.92945234,Moine
547,32.5241384,-24.92046919,Moine
548,32.5241384,-24.91148604,Moine
549,32.5241384,-24.90250289,Moine
550,32.5241384,-24.89351973,Moine
551,32.5241384,-24.88453658,Moine
552,32.5241384,-24.87555343,Moine
553,32.5241384,-24.86657027,Moine
554,32.5241384,-24.85758712,Moine
555,32.5241384,-24.84860397,Moine
556,32.5241384,-24.83962082,Moine
557,32.5241384,-24.83063766,Moine
558,32.5241384,-24.82165451,Moine
559,32.5241384,-24.8036882,Moine
560,32.5241384,-24.7857219,Moine
561,32.5241384,-24.74978929,Mahel
562,32.5241384,-24.74080613,Mahel
563,32.5241384,-24.73182298,Mahel
564,32.5241384,-24.72283983,Mahel
565,32.5241384,-24.70487352,Mahel
566,32.5241384,-24.62402515,Mahel
567,32.53415819,-25.18098062,Chichuco
568,32.53415819,-25.17199747,Chichuco
569,32.53415819,-25.16301432,Chichuco
570,32.53415819,-25.15403117,Chichuco
571,32.53415819,-25.14504801,Chichuco
572,32.53415819,-25.13606486,Chichuco
573,32.53415819,-25.12708171,Chichuco
574,32.53415819,-25.1091154,Chichuco
575,32.53415819,-25.10013225,Chichuco
576,32.53415819,-25.0911491,Chichuco
577,32.53415819,-25.08216594,Chichuco
578,32.53415819,-25.07318279,Chichuco
579,32.53415819,-25.04623333,Chichuco
580,32.53415819,-25.03725018,Chichuco
581,32.53415819,-25.02826703,Chichuco
582,32.53415819,-25.01030072,Magude-Sede
583,32.53415819,-24.99233441,Moine
584,32.53415819,-24.97436811,Moine
585,32.53415819,-24.96538496,Moine
586,32.53415819,-24.9564018,Moine
587,32.53415819,-24.94741865,Moine
588,32.53415819,-24.9384355,Moine
589,32.53415819,-24.92945234,Moine
590,32.53415819,-24.92046919,Moine
591,32.53415819,-24.91148604,Moine
592,32.53415819,-24.90250289,Moine
593,32.53415819,-24.89351973,Moine
594,32.53415819,-24.88453658,Moine
595,32.53415819,-24.86657027,Moine
596,32.53415819,-24.83962082,Moine
597,32.53415819,-24.83063766,Moine
598,32.53415819,-24.82165451,Moine
599,32.53415819,-24.81267136,Moine
600,32.53415819,-24.8036882,Moine
601,32.53415819,-24.79470505,Moine
602,32.53415819,-24.7857219,Moine
603,32.54417798,-25.17199747,Chichuco
604,32.54417798,-25.16301432,Chichuco
605,32.54417798,-25.15403117,Chichuco
606,32.54417798,-25.12708171,Chichuco
607,32.54417798,-25.10013225,Chichuco
608,32.54417798,-25.0911491,Chichuco
609,32.54417798,-25.08216594,Chichuco
610,32.54417798,-25.07318279,Chichuco
611,32.54417798,-25.06419964,Chichuco
612,32.54417798,-25.05521648,Chichuco
613,32.54417798,-25.04623333,Chichuco
614,32.54417798,-24.97436811,Moine
615,32.54417798,-24.96538496,Moine
616,32.54417798,-24.9564018,Moine
617,32.54417798,-24.94741865,Moine
618,32.54417798,-24.9384355,Moine
619,32.54417798,-24.92945234,Moine
620,32.54417798,-24.92046919,Moine
621,32.54417798,-24.91148604,Moine
622,32.54417798,-24.90250289,Moine
623,32.54417798,-24.89351973,Moine
624,32.54417798,-24.88453658,Moine
625,32.54417798,-24.87555343,Moine
626,32.54417798,-24.83063766,Moine
627,32.54417798,-24.8036882,Moine
628,32.55419776,-25.15403117,Chichuco
629,32.55419776,-25.14504801,Chichuco
630,32.55419776,-25.10013225,Chichuco
631,32.55419776,-25.0911491,Chichuco
632,32.55419776,-25.08216594,Chichuco
633,32.55419776,-25.07318279,Chichuco
634,32.55419776,-25.05521648,Chichuco
635,32.55419776,-25.04623333,Chichuco
636,32.55419776,-25.02826703,Magude-Sede
637,32.55419776,-24.99233441,Magude-Sede
638,32.55419776,-24.98335126,Magude-Sede
639,32.55419776,-24.97436811,Moine
640,32.55419776,-24.96538496,Moine
641,32.55419776,-24.9564018,Moine
642,32.55419776,-24.94741865,Moine
643,32.55419776,-24.9384355,Moine
644,32.55419776,-24.92945234,Moine
645,32.55419776,-24.92046919,Moine
646,32.55419776,-24.91148604,Moine
647,32.55419776,-24.88453658,Moine
648,32.55419776,-24.87555343,Moine
649,32.55419776,-24.85758712,Moine
650,32.55419776,-24.82165451,Moine
651,32.55419776,-24.8036882,Moine
652,32.56421755,-25.14504801,Chichuco
653,32.56421755,-25.13606486,Chichuco
654,32.56421755,-25.12708171,Chichuco
655,32.56421755,-25.11809855,Chichuco
656,32.56421755,-25.0911491,Chichuco
657,32.56421755,-25.08216594,Chichuco
658,32.56421755,-25.07318279,Chichuco
659,32.56421755,-25.04623333,Chichuco
660,32.56421755,-25.03725018,Magude-Sede
661,32.56421755,-25.02826703,Magude-Sede
662,32.56421755,-25.01928387,Magude-Sede
663,32.56421755,-25.01030072,Magude-Sede
664,32.56421755,-25.00131757,Magude-Sede
665,32.56421755,-24.99233441,Magude-Sede
666,32.56421755,-24.98335126,Magude-Sede
667,32.56421755,-24.97436811,Moine
668,32.56421755,-24.96538496,Moine
669,32.56421755,-24.9564018,Moine
670,32.56421755,-24.94741865,Moine
671,32.56421755,-24.9384355,Moine
672,32.56421755,-24.92945234,Moine
673,32.56421755,-24.92046919,Moine
674,32.56421755,-24.85758712,Moine
675,32.56421755,-24.8036882,Moine
676,32.56421755,-24.79470505,Moine
677,32.56421755,-24.73182298,Mahel
678,32.56421755,-24.66894091,Mahel
