"mid.x","mid.y","loc.id","catch.y"
26.5464275894782,-17.4135116904898,142,"Luyaba"
26.5464275894782,-17.4045285376486,143,"Luyaba"
26.5464275894782,-17.3955453848074,144,"Luyaba"
26.5464275894782,-17.3865622319662,145,"Luyaba"
26.5464275894782,-17.377579079125,146,"Luyaba"
26.5464275894782,-17.3685959262838,147,"Luyaba"
26.5558780358364,-17.745888345614,148,"Mapatizya"
26.5558780358364,-17.4494443018545,149,"Luyaba"
26.5558780358364,-17.4404611490133,150,"Luyaba"
26.5558780358364,-17.4314779961722,151,"Luyaba"
26.5558780358364,-17.422494843331,152,"Luyaba"
26.5558780358364,-17.4135116904898,153,"Luyaba"
26.5558780358364,-17.4045285376486,154,"Luyaba"
26.5558780358364,-17.3955453848074,155,"Luyaba"
26.5558780358364,-17.3865622319662,156,"Luyaba"
