,lon,lat,node_label,pop
54,27.7371838306,-16.6948594632,4565,97.0
55,27.7371838306,-16.6679100047,4566,7.0
56,27.7371838306,-16.6589268518,4567,11.0
57,27.7371838306,-16.649943699,4568,43.0
58,27.7371838306,-16.6409605461,4569,155.0
59,27.7371838306,-16.6319773933,4570,34.0
60,27.7371838306,-16.6229942405,4571,6.0
61,27.746634277,-16.7397752274,4591,113.0
62,27.746634277,-16.7307920746,4592,12.0
63,27.746634277,-16.6679100047,4593,15.0
64,27.746634277,-16.6589268518,4594,20.0
65,27.746634277,-16.6409605461,4595,251.0
66,27.746634277,-16.6319773933,4596,70.0
67,27.746634277,-16.6229942405,4597,36.0
68,27.7560847233,-16.7397752274,4620,26.0
69,27.7560847233,-16.7307920746,4621,66.0
70,27.7560847233,-16.7218089217,4622,91.0
71,27.7560847233,-16.6768931575,4623,29.0
72,27.7560847233,-16.6409605461,4624,58.0
73,27.7560847233,-16.6319773933,4625,128.0
74,27.7560847233,-16.6229942405,4626,20.0
75,27.7655351697,-16.7397752274,4649,21.0
76,27.7655351697,-16.7307920746,4650,66.0
77,27.7655351697,-16.7218089217,4651,173.0
78,27.7655351697,-16.7128257689,4652,108.0
79,27.7655351697,-16.703842616,4653,17.0
80,27.7655351697,-16.6589268518,4654,32.0
81,27.7655351697,-16.649943699,4655,50.0
82,27.7655351697,-16.6409605461,4656,147.0
83,27.7655351697,-16.6319773933,4657,40.0
84,27.7655351697,-16.6229942405,4658,274.0
85,27.7655351697,-16.6140110876,4659,9.0
86,27.7749856161,-16.7128257689,4686,106.0
87,27.7749856161,-16.6589268518,4687,56.0
88,27.7749856161,-16.649943699,4688,448.0
89,27.7749856161,-16.6409605461,4689,352.0
90,27.7749856161,-16.6319773933,4690,147.0
91,27.7749856161,-16.6229942405,4691,220.0
92,27.7749856161,-16.6140110876,4692,25.0
93,27.7844360624,-16.7128257689,4715,30.0
94,27.7844360624,-16.703842616,4716,33.0
95,27.7844360624,-16.6948594632,4717,24.0
96,27.7844360624,-16.6679100047,4718,17.0
97,27.7844360624,-16.6589268518,4719,58.0
98,27.7844360624,-16.649943699,4720,148.0
99,27.7844360624,-16.6409605461,4721,73.0
100,27.7844360624,-16.6319773933,4722,17.0
101,27.7844360624,-16.6229942405,4723,308.0
102,27.7938865088,-16.6589268518,4747,73.0
103,27.7938865088,-16.649943699,4748,56.0
104,27.7938865088,-16.6409605461,4749,227.0
105,27.7938865088,-16.6229942405,4750,55.0
106,27.7938865088,-16.6140110876,4751,16.0
107,27.8033369551,-16.6409605461,4768,240.0
108,27.8033369551,-16.6319773933,4769,76.0
109,27.8033369551,-16.6229942405,4770,21.0
110,27.8033369551,-16.6140110876,4771,7.0
111,27.8033369551,-16.6050279348,4772,79.0
112,27.8127874015,-16.6768931575,4788,2.0
113,27.8127874015,-16.6409605461,4789,100.0
114,27.8127874015,-16.6319773933,4790,110.0
115,27.8127874015,-16.6140110876,4791,14.0
116,27.8127874015,-16.6050279348,4792,285.0
117,27.8127874015,-16.5960447819,4793,30.0
118,27.8222378478,-16.6679100047,4808,11.0
119,27.8222378478,-16.6409605461,4809,40.0
120,27.8222378478,-16.6319773933,4810,77.0
121,27.8222378478,-16.6140110876,4811,2.0
122,27.8222378478,-16.6050279348,4812,13.0
123,27.8222378478,-16.5960447819,4813,52.0
124,27.8316882942,-16.6768931575,4833,4.0
125,27.8316882942,-16.6679100047,4834,32.0
126,27.8316882942,-16.6589268518,4835,39.0
127,27.8316882942,-16.6229942405,4836,27.0
128,27.8316882942,-16.6140110876,4837,4.0
129,27.8316882942,-16.5960447819,4838,42.0
130,27.8316882942,-16.5870616291,4839,15.0
131,27.8411387406,-16.6679100047,4862,23.0
132,27.8411387406,-16.6589268518,4863,26.0
133,27.8411387406,-16.5960447819,4864,4.0
134,27.8411387406,-16.5780784763,4865,84.0
135,27.8411387406,-16.5690953234,4866,10.0
136,27.8505891869,-16.6679100047,4885,13.0
137,27.8505891869,-16.649943699,4886,10.0
