,lon,lat,node_label,pop
200,28.2286070412,-16.5870616291,5593,55.0
201,28.2286070412,-16.5780784763,5594,4.0
202,28.2286070412,-16.5151964064,5595,5.0
203,28.2286070412,-16.4972301007,5596,210.0
204,28.2286070412,-16.4882469478,5597,12.0
205,28.2380574876,-16.649943699,5602,38.0
206,28.2380574876,-16.6409605461,5603,33.0
207,28.2380574876,-16.6140110876,5604,6.0
208,28.2380574876,-16.5960447819,5605,41.0
209,28.2380574876,-16.5870616291,5606,75.0
210,28.2380574876,-16.5780784763,5607,27.0
211,28.2380574876,-16.5151964064,5608,50.0
212,28.2380574876,-16.5062132535,5609,15.0
213,28.2380574876,-16.4972301007,5610,18.0
214,28.247507934,-16.649943699,5618,36.0
215,28.247507934,-16.6140110876,5619,13.0
216,28.247507934,-16.5960447819,5620,32.0
217,28.247507934,-16.5870616291,5621,25.0
218,28.247507934,-16.5780784763,5622,12.0
219,28.247507934,-16.5062132535,5623,42.0
220,28.2569583803,-16.6140110876,5634,46.0
221,28.2569583803,-16.6050279348,5635,37.0
222,28.2664088267,-16.6050279348,5651,34.0
223,28.2664088267,-16.5960447819,5652,60.0
224,28.2664088267,-16.5870616291,5653,83.0
225,28.2664088267,-16.5780784763,5654,79.0
226,28.2664088267,-16.5601121706,5655,3.0
227,28.2664088267,-16.5511290177,5656,3.0
228,28.2664088267,-16.5421458649,5657,8.0
229,28.275859273,-16.5960447819,5670,19.0
230,28.275859273,-16.5870616291,5671,101.0
231,28.275859273,-16.5690953234,5672,33.0
232,28.275859273,-16.5601121706,5673,41.0
233,28.275859273,-16.5511290177,5674,27.0
234,28.275859273,-16.5331627121,5675,4.0
235,28.275859273,-16.5241795592,5676,36.0
236,28.2853097194,-16.5960447819,5687,19.0
237,28.2853097194,-16.5870616291,5688,18.0
238,28.2853097194,-16.5780784763,5689,8.0
239,28.2853097194,-16.5690953234,5690,18.0
240,28.2853097194,-16.5511290177,5691,47.0
241,28.2853097194,-16.5421458649,5692,7.0
242,28.2853097194,-16.5331627121,5693,15.0
243,28.2853097194,-16.5241795592,5694,2.0
244,28.2947601658,-16.5960447819,5710,11.0
245,28.2947601658,-16.5870616291,5711,48.0
246,28.2947601658,-16.5780784763,5712,7.0
247,28.2947601658,-16.5690953234,5713,34.0
248,28.2947601658,-16.5511290177,5714,20.0
249,28.2947601658,-16.5331627121,5715,27.0
250,28.3042106121,-16.5960447819,5737,49.0
251,28.3042106121,-16.5870616291,5738,46.0
252,28.3042106121,-16.5780784763,5739,10.0
253,28.3042106121,-16.5690953234,5740,13.0
254,28.3042106121,-16.5511290177,5741,5.0
255,28.3136610585,-16.6050279348,5760,22.0
256,28.3136610585,-16.5960447819,5761,43.0
257,28.3136610585,-16.5870616291,5762,11.0
