,lon,lat,node_label,pop
94,26.7070851776,-17.8896187911,533,35.0
95,26.7070851776,-17.8806356382,534,78.0
96,26.7070851776,-17.8716524854,535,39.0
97,26.7070851776,-17.8626693325,536,1.0
98,26.7070851776,-17.7458883456,537,39.0
99,26.7070851776,-17.7369051928,538,39.0
100,26.7070851776,-17.7279220399,539,23.0
101,26.7070851776,-17.7189388871,540,129.0
102,26.7070851776,-17.7099557342,541,147.0
103,26.7070851776,-17.7009725814,542,64.0
104,26.7070851776,-17.6919894286,543,11.0
105,26.7070851776,-17.6830062757,544,27.0
106,26.7165356239,-18.0423323894,574,27.0
107,26.7165356239,-17.9345345553,575,18.0
108,26.7165356239,-17.9255514024,576,9.0
109,26.7165356239,-17.9075850968,577,9.0
110,26.7165356239,-17.8806356382,578,50.0
111,26.7165356239,-17.7548714985,579,7.0
112,26.7165356239,-17.7458883456,580,55.0
113,26.7165356239,-17.7369051928,581,9.0
114,26.7165356239,-17.7279220399,582,17.0
115,26.7165356239,-17.7189388871,583,27.0
116,26.7165356239,-17.7099557342,584,76.0
117,26.7165356239,-17.7009725814,585,24.0
118,26.7165356239,-17.6919894286,586,24.0
119,26.7165356239,-17.6830062757,587,24.0
120,26.7165356239,-17.6740231229,588,12.0
121,26.7165356239,-17.66503997,589,10.0
122,26.7259860703,-17.952500861,615,40.0
123,26.7259860703,-17.9345345553,616,18.0
124,26.7259860703,-17.9255514024,617,32.0
125,26.7259860703,-17.8896187911,618,3.0
126,26.7259860703,-17.7369051928,619,41.0
127,26.7259860703,-17.7279220399,620,46.0
128,26.7259860703,-17.7189388871,621,47.0
129,26.7259860703,-17.7099557342,622,16.0
130,26.7259860703,-17.7009725814,623,6.0
131,26.7259860703,-17.6740231229,624,37.0
132,26.7259860703,-17.66503997,625,23.0
133,26.7354365166,-18.0243660837,653,2.0
134,26.7354365166,-17.9255514024,654,52.0
135,26.7354365166,-17.9075850968,655,22.0
136,26.7354365166,-17.8986019439,656,229.0
137,26.7354365166,-17.8896187911,657,38.0
138,26.7354365166,-17.7638546513,658,22.0
